id,title,category,priority,status,description,next_step,notes
T01,Fix drill footer overflow,UI,High,Done,Bottom answer bar overflows viewport on some screen sizes,Fixed: .drill-layout flex column with drill-scroll taking flex:1 and overflow-y:auto; added {% block extra_head %} to base.html so drill pages override main padding. Also fixed image stretching with max-width:860px on .drill-scroll .q-image-wrap,
T02,Progress indicators on dashboard skill table,UI,High,Done,"Each skill row shows: total questions available, attempted count, % progress bar","Done: get_skill_stats() already returned total_in_bank and attempted; added .prog-wrap/.prog-bar/.prog-fill/.prog-text CSS and coverage bar to home.html. Also added mastery dot badge column (T18 extension).",
T03,Prev/next review mode after drill session,Feature,High,Done,Navigate through all Q+AK images after a session ends — for tutor review,"Done: /drill/review/<session_id>/<idx> route in app.py; drill_review.html with full-viewport layout, outcome chip, keyboard nav (arrow keys), lightbox. Results+Review links added to progress page session history.",
T04,Manual answer editor for self-check questions,Data,High,Backlog,"Admin page listing all ~85 questions with answer=NULL — show AK image, text input, save to DB","Build /admin/answers page; also fix question_type (mcq vs spr) at the same time","< 100 questions, one-time manual effort"
T05,Evaluate adding total elapsed timer to drills,Feature,Low,Discuss,"Undecided: (a) no session timer, (b) per-question only (current), (c) session total in header","Recommendation: show total elapsed time on results page only — no pressure mid-drill, useful for Claude summary",
T06,Dashboard redesign — section → domain → skill hierarchy,UI,Medium,Backlog,Collapsible sections with domain cards and skill rows — prettier and more navigable,Sketch interactive wireframe first before touching any code,
T07,Pace benchmarking per question,Feature,Medium,Backlog,"Show per-question time vs SAT pace (1:27 R&W / 1:35 Math) on results — correct but slow is a problem too","Add pace column to results tables; flag questions where time > 1.5× SAT pace even if correct",
T08,One-click re-drill mistakes,Feature,High,Backlog,"Button on drill results page: 'Drill my mistakes' — starts new session pre-filtered to questions answered wrong in that session","POST to /drill/start with qids pre-populated from session's wrong_qs list; bypass picker",
T09,Accuracy trend on dashboard,Feature,Medium,Partial,Week-over-week delta or sparkline per skill so trajectory is visible not just current accuracy,"Partial: last-10-sessions bar chart now on Progress page (get_progress_stats() trend data). Still TODO: per-skill delta on dashboard skill table — rolling 7-day vs prior 7-day accuracy arrow/delta in home.html",
T10,Question notes / extended flag,Feature,Low,Backlog,"Allow a short text note on a question (e.g. 'always misread this type') visible in review mode",Add notes column to question_history or a separate question_notes table; show in review mode,
T11,Skip button in drill,Feature,Low,Backlog,"Skip a question without marking wrong — useful when image fails to load or question is irrelevant","Add Skip button to drill footer that logs correct=None and moves to next; distinct from Revisit",
T12,AK image quality check script,Operational,Medium,Backlog,Flag any _ak.png that is suspiciously small (blank/failed render from pipeline),Script to scan images/ and report files under ~10KB; visually inspect flagged ones,
T13,Export session summary to PDF,Feature,Low,Backlog,The Copy-to-Claude block as a formatted PDF shareable with a tutor,Use reportlab or weasyprint to render drill_results as PDF; add Download PDF button,
T14,Wrong-answer image review on results page,UI,Medium,Backlog,Show AK image inline (collapsed by default) for each incorrect question on the results page — without needing a full review session,"Add <details> accordion per wrong_q in drill_results.html — image lazy-loads on expand","Module results already has this; port pattern to drill results"
T16,Proper packaging — macOS installer + Windows distro,Operational,Low,Backlog,"macOS: sign + notarize the app so Gatekeeper doesn't block it (eliminates xattr workaround); package as a proper .dmg with drag-to-install. Windows: PyInstaller build on Windows produces .exe; wrap in NSIS or Inno Setup installer. Both need an update mechanism that replaces the binary without touching app.db and question_bank/.","macOS first: get Apple Developer ID ($99/yr) then codesign + notarytool; Windows: set up a Windows build VM or GitHub Actions runner for cross-compile","Current workaround (xattr -cr) is fine for one laptop; becomes painful at scale"
T17,Fix MathML rendering artifacts in question PNGs,Data,Medium,Backlog,"8 AK images show raw 'msup' superscript tag in their text layer — source PDF issue (College Board embedded MathML text alongside rendered formula). PNG render is visually correct but text layer is polluted. Affects: 290cdc2c / cfff8f8e / 252a3b3a / dd8ac009 / ce579859 / d139cf4b / 82c8325f / fa2771d5","Verify AK images are still visually readable (likely yes). If not re-render at higher DPI. Handle alongside T04 manual answer editor since all 8 need a manual review anyway.","All Math: Equivalent Expressions x1 / Nonlinear Functions x5 / Circles x2. Source PDFs confirmed to have MathML in text layer — not a pymupdf bug."
T15,DB schema migration strategy,Operational,High,Backlog,"app.db persists through app updates so schema changes (new columns/tables) must be applied as incremental migrations — never by regenerating the DB","Add schema_version key to config table; init_db() checks version and applies numbered migration blocks sequentially; each migration ships as a standalone .py script too so it can be run manually on Khushi's laptop","init_db() already handles new tables via CREATE TABLE IF NOT EXISTS; column additions need ALTER TABLE wrapped in try/except since SQLite doesn't support IF NOT EXISTS on ALTER"
T18,Skill mastery inference,Feature,High,Done,"Infer mastery band per skill from weighted accuracy (L1=1x / L2=2x / L3=3x), coverage %, and 14-day recency decay. Bands: not_started / exploring / developing / proficient / mastered / review_due. Show on dashboard skill table (per difficulty row) and as aggregated skill table on progress page.","Implemented: get_skill_mastery() + get_progress_stats() in db.py; mastery badges on home.html; redesigned progress page with stat cards + accuracy trend chart + mastery table",14-day recency threshold chosen for 3-month SAT sprint timeline
